outcome,age,gender,location,income_bracket,purchase_history_count,purchase_history_items,browsing_behavior_count,browsing_behavior_items,seasonal_factors,budget_range,shopping_condition,browsing_count,primary_categories_count,primary_categories_items
personalized recommendations,66,male,rural area,upper middle income,5,books_item_58|books_item_10|books_item_82|books_item_99|education_item_52,7,browsed_education_item_45|browsed_education_item_30|browsed_education_item_21|browsed_books_item_50|browsed_books_item_47|browsed_education_item_41|browsed_education_item_5,winter clothing season,$300-500,browsing casually without specific intent,7,2,books|education
trending recommendations,18,female,rural area,low income,4,home_goods_item_67|home_goods_item_23|kitchen_item_43|kitchen_item_72,6,browsed_kitchen_item_15|browsed_kitchen_item_41|browsed_home_goods_item_12|browsed_kitchen_item_26|browsed_home_goods_item_48|browsed_home_goods_item_29,winter clothing season,$300-500,comparing prices across multiple options,6,2,home_goods|kitchen
trending recommendations,24,male,suburban area,high income,5,sports_item_37|fitness_item_33|fitness_item_25|fitness_item_1|fitness_item_91,8,browsed_sports_item_37|browsed_sports_item_34|browsed_sports_item_25|browsed_sports_item_45|browsed_fitness_item_27|browsed_fitness_item_7|browsed_sports_item_28|browsed_fitness_item_17,winter clothing season,$300-500,seeking recommendations for new products,8,2,sports|fitness
personalized recommendations,65,male,suburban area,upper middle income,5,travel_item_22|travel_item_82|experiences_item_54|experiences_item_81|experiences_item_79,7,browsed_experiences_item_5|browsed_travel_item_11|browsed_experiences_item_15|browsed_experiences_item_21|browsed_experiences_item_46|browsed_experiences_item_39|browsed_experiences_item_18,spring cleaning time,$100-300,following up on previously viewed items,7,2,travel|experiences
trending recommendations,19,male,rural area,upper middle income,3,electronics_item_42|electronics_item_19|books_item_92,4,browsed_books_item_26|browsed_electronics_item_44|browsed_books_item_17|browsed_electronics_item_2,spring cleaning time,$300-500,seeking recommendations for new products,4,2,electronics|books
personalized recommendations,55,male,rural area,high income,5,books_item_45|books_item_62|books_item_70|education_item_12|education_item_57,5,browsed_education_item_27|browsed_education_item_10|browsed_education_item_1|browsed_books_item_34|browsed_books_item_23,summer vacation period,$300-500,seeking recommendations for new products,5,2,books|education
personalized recommendations,31,female,suburban area,middle income,6,electronics_item_27|electronics_item_89|electronics_item_62|electronics_item_43|books_item_1|books_item_2,8,browsed_electronics_item_8|browsed_books_item_10|browsed_electronics_item_50|browsed_electronics_item_47|browsed_electronics_item_17|browsed_electronics_item_30|browsed_books_item_17|browsed_books_item_4,holiday shopping season,$50-100,looking for a specific item with detailed requirements,8,2,electronics|books
trending recommendations,61,male,urban area,low income,3,electronics_item_33|electronics_item_72|books_item_74,4,browsed_books_item_27|browsed_books_item_29|browsed_books_item_28|browsed_books_item_2,spring cleaning time,$10-50,seeking recommendations for new products,4,2,electronics|books
personalized recommendations,57,female,rural area,high income,3,electronics_item_66|gaming_item_9|gaming_item_40,8,browsed_gaming_item_9|browsed_electronics_item_12|browsed_electronics_item_13|browsed_electronics_item_16|browsed_electronics_item_30|browsed_electronics_item_24|browsed_electronics_item_18|browsed_gaming_item_30,winter clothing season,$300-500,following up on previously viewed items,8,2,electronics|gaming
personalized recommendations,56,male,rural area,low income,6,electronics_item_91|electronics_item_4|electronics_item_56|electronics_item_84|gaming_item_78|gaming_item_56,4,browsed_electronics_item_7|browsed_gaming_item_14|browsed_electronics_item_27|browsed_gaming_item_43,summer vacation period,$100-300,browsing casually without specific intent,4,2,electronics|gaming
personalized recommendations,48,female,suburban area,upper middle income,6,electronics_item_13|electronics_item_89|electronics_item_21|electronics_item_8|books_item_33|books_item_61,8,browsed_electronics_item_29|browsed_books_item_17|browsed_books_item_24|browsed_books_item_23|browsed_electronics_item_27|browsed_electronics_item_23|browsed_electronics_item_37|browsed_electronics_item_50,summer vacation period,$100-300,shopping for a gift with time constraints,8,2,electronics|books
personalized recommendations,57,male,rural area,upper middle income,6,home_goods_item_12|home_goods_item_84|home_goods_item_47|kitchen_item_11|kitchen_item_48|kitchen_item_86,8,browsed_home_goods_item_4|browsed_kitchen_item_41|browsed_kitchen_item_47|browsed_home_goods_item_28|browsed_home_goods_item_46|browsed_home_goods_item_1|browsed_home_goods_item_31|browsed_home_goods_item_9,winter clothing season,$50-100,seeking recommendations for new products,8,2,home_goods|kitchen
personalized recommendations,32,female,urban area,low income,6,clothing_item_97|clothing_item_16|accessories_item_45|accessories_item_55|accessories_item_41|accessories_item_18,4,browsed_accessories_item_42|browsed_clothing_item_16|browsed_accessories_item_50|browsed_clothing_item_43,summer vacation period,$50-100,seeking recommendations for new products,4,2,clothing|accessories
personalized recommendations,27,female,rural area,upper middle income,7,books_item_78|books_item_89|books_item_98|books_item_32|education_item_51|education_item_44|education_item_38,6,browsed_books_item_9|browsed_education_item_39|browsed_education_item_45|browsed_education_item_46|browsed_books_item_13|browsed_books_item_40,regular shopping period,$100-300,following up on previously viewed items,6,2,books|education
personalized recommendations,37,female,urban area,upper middle income,8,books_item_63|books_item_85|books_item_34|books_item_12|education_item_24|education_item_48|education_item_49|education_item_48,4,browsed_education_item_3|browsed_education_item_29|browsed_education_item_17|browsed_books_item_18,winter clothing season,$10-50,browsing casually without specific intent,4,2,books|education
